City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Faya,SA,18.3851,42.4509,57.31,39,0,6.89,clear sky
294,Urucara,BR,-2.5364,-57.76,74.57,92,96,0.83,overcast clouds
295,Hearst,CA,49.6835,-83.6665,17.85,95,99,4.81,light snow
296,Malinovskiy,RU,61.1953,62.8397,20.59,98,100,4.16,overcast clouds
297,Upington,ZA,-28.4478,21.2561,62.98,55,0,3.44,clear sky
298,Paluan,PH,13.416,120.4623,83.55,75,95,10.96,overcast clouds
299,Pozo Colorado,PY,-23.4923,-58.7972,76.86,50,9,5.46,clear sky
300,Prieska,ZA,-29.6641,22.7474,62.11,58,47,6.2,scattered clouds
301,Semey,KZ,50.4111,80.2275,19.62,63,0,6.71,clear sky
302,Mamlyutka,KZ,54.9375,68.5394,12.22,91,96,10.49,overcast clouds
303,Portland,US,45.5234,-122.6762,64.38,82,90,10.36,overcast clouds
304,Visby,SE,57.6409,18.296,32.22,100,90,12.66,light snow
305,Akdepe,TM,42.0551,59.3788,32.09,35,35,6.87,scattered clouds
306,Mount Isa,AU,-20.7333,139.5,94.77,16,0,6.91,clear sky
307,Abaza,RU,52.655,90.0928,29.59,79,100,12.03,light snow
308,Guerrero Negro,MX,27.9769,-114.0611,65.66,70,0,8.03,clear sky
309,Voyvozh,RU,62.892,54.9635,16.56,95,100,7.25,light snow
310,Challapata,BO,-18.9,-66.7667,49.93,74,72,5.68,moderate rain
311,Srednekolymsk,RU,67.45,153.6833,-38.97,99,48,4.74,scattered clouds
312,Lorengau,PG,-2.0226,147.2712,86.16,65,100,7.38,overcast clouds
313,Saint-Leu,RE,-21.15,55.2833,81.43,80,92,2.68,light rain
314,Kilindoni,TZ,-7.9139,39.6668,80.1,80,93,18.52,light rain
315,Evensk,RU,61.95,159.2333,13.5,93,100,7.85,light snow
316,Soyo,AO,-6.1349,12.3689,76.3,89,94,3.69,overcast clouds
317,Airai,TL,-8.9266,125.4092,71.67,70,97,1.72,overcast clouds
318,San Juan,AR,-31.5375,-68.5364,65.21,51,12,17.38,few clouds
319,Son La,VN,21.3167,103.9,71.67,53,43,3.89,scattered clouds
320,Ouango,CF,4.3133,22.5552,68.16,63,91,2.8,overcast clouds
321,Kidal,ML,18.4411,1.4078,74.14,23,45,4.97,scattered clouds
322,Vardo,NO,70.3705,31.1107,23.0,78,29,12.12,scattered clouds
323,Padang,ID,-0.9492,100.3543,80.65,64,98,4.97,overcast clouds
324,Katangli,RU,51.7102,143.2326,28.17,65,44,11.43,scattered clouds
325,Wladyslawowo,PL,54.7909,18.4009,33.35,78,100,6.89,overcast clouds
326,Susanino,RU,58.1461,41.5872,33.67,98,100,10.02,snow
327,Dalvik,IS,65.9702,-18.5286,30.13,87,100,7.49,overcast clouds
328,Touros,BR,-5.1989,-35.4608,79.7,73,96,11.5,overcast clouds
329,Lasa,IT,46.6166,10.7002,35.06,95,100,6.78,moderate rain
330,Cordoba,AR,-31.4135,-64.1811,59.85,100,90,10.36,light rain
331,Lompoc,US,34.6391,-120.4579,53.91,69,1,5.75,clear sky
332,General Roca,AR,-39.0333,-67.5833,63.0,63,34,2.28,scattered clouds
333,Waycross,US,31.2136,-82.354,43.27,93,1,0.0,clear sky
334,Bilma,NE,18.6853,12.9164,70.63,20,78,6.85,broken clouds
335,Gat,IL,31.61,34.7642,54.28,36,11,3.98,few clouds
336,Nevelsk,RU,46.6733,141.8633,37.83,65,5,10.92,clear sky
337,Sao Filipe,CV,14.8961,-24.4956,76.78,73,82,11.01,broken clouds
338,Deputatskiy,RU,69.3,139.9,-8.75,97,100,5.19,overcast clouds
339,Bambous Virieux,MU,-20.3428,57.7575,84.45,58,20,10.36,few clouds
340,Uspenka,UA,48.3903,39.1619,46.29,95,96,9.78,overcast clouds
341,Wanlaweyn,SO,2.6185,44.8938,80.13,74,20,4.59,light rain
342,Paamiut,GL,61.994,-49.6678,36.99,96,100,12.64,light rain
343,Mabaruma,GY,8.2,-59.7833,72.73,99,99,1.99,overcast clouds
344,Nome,US,64.5011,-165.4064,-18.33,76,1,0.0,clear sky
345,Kuching,MY,1.55,110.3333,75.42,94,40,11.5,light intensity shower rain
346,Pangnirtung,CA,66.1451,-65.7125,17.33,75,100,7.72,overcast clouds
347,Kieta,PG,-6.2167,155.6333,82.49,76,100,4.63,overcast clouds
